,Season,Squad,W,D,L,GF,GA,Pts,Sh,SoT,FK,PK,Cmp,Att,Cmp%,CK,CrdY,CrdR,Fls,PKcon,OG
133,2017-2018,Watford,11,8,19,44,64,41,447,136,11,3,14336,19027,75.3,227,65,0,416,2,0
134,2017-2018,Brighton,9,13,16,34,54,40,380,122,11,0,10122,14569,69.5,136,62,0,436,5,2
135,2017-2018,Huddersfield,9,10,19,28,58,37,338,95,15,1,13223,17437,75.8,150,51,0,377,6,2
136,2017-2018,Southampton,7,15,16,37,56,36,620,209,28,2,19284,23695,81.4,246,52,0,384,3,1
137,2017-2018,Swansea City,8,9,21,28,56,33,434,126,10,3,12758,17513,72.8,183,65,0,441,6,1
138,2017-2018,Stoke City,7,12,19,35,68,33,377,111,15,1,10495,15004,69.9,176,73,0,440,1,2
139,2017-2018,West Brom,6,13,19,31,56,31,368,127,17,2,11779,16197,72.7,161,75,0,379,6,1
140,2016-2017,Chelsea,30,3,5,85,33,93,0,201,0,4,0,0,0.0,0,69,0,394,0,0
141,2016-2017,Tottenham,26,8,4,86,26,86,0,160,0,7,0,0,0.0,0,56,2,372,0,0
142,2016-2017,Manchester City,23,9,6,80,39,78,0,121,0,6,0,0,0.0,0,67,1,428,0,0
143,2016-2017,Liverpool,22,10,6,78,42,76,0,205,0,2,0,0,0.0,0,72,0,394,0,0
144,2016-2017,Arsenal,23,6,9,77,44,75,0,137,0,4,0,0,0.0,0,79,0,471,0,0
145,2016-2017,Manchester Utd,18,15,5,54,29,69,0,192,0,3,0,0,0.0,0,74,1,457,0,0
146,2016-2017,Everton,17,10,11,62,44,61,0,126,0,3,0,0,0.0,0,67,0,403,0,0
147,2016-2017,Southampton,12,10,16,41,48,46,0,145,0,4,0,0,0.0,0,73,0,447,0,0
148,2016-2017,Bournemouth,12,10,16,55,67,46,0,236,0,7,0,0,0.0,0,54,0,396,0,0
149,2016-2017,West Brom,12,9,17,43,51,45,0,215,0,7,0,0,0.0,0,71,0,395,0,0
150,2016-2017,West Ham,12,9,17,47,64,45,0,207,0,3,0,0,0.0,0,80,1,498,0,0
151,2016-2017,Leicester City,12,8,18,48,63,44,0,98,0,2,0,0,0.0,0,79,1,480,0,0
152,2016-2017,Stoke City,11,11,16,41,56,44,0,179,0,3,0,0,0.0,0,61,1,426,0,0
153,2016-2017,Crystal Palace,12,5,21,50,63,41,0,135,0,4,0,0,0.0,0,72,1,434,0,0
154,2016-2017,Swansea City,12,5,21,45,70,41,0,122,0,5,0,0,0.0,0,84,3,437,0,0
155,2016-2017,Burnley,11,7,20,39,55,40,0,145,0,3,0,0,0.0,0,56,0,399,0,0
156,2016-2017,Watford,11,7,20,40,68,40,0,257,0,7,0,0,0.0,0,62,0,431,0,0
157,2016-2017,Hull City,9,7,22,37,80,34,0,143,0,3,0,0,0.0,0,90,3,514,0,0
158,2016-2017,Middlesbrough,5,13,20,27,53,28,0,124,0,1,0,0,0.0,0,80,0,448,0,0
159,2016-2017,Sunderland,6,6,26,29,69,24,0,136,0,3,0,0,0.0,0,86,4,408,0,0
160,2015-2016,Leicester City,23,12,3,68,36,81,0,210,0,1,0,0,0.0,0,45,0,348,0,0
161,2015-2016,Arsenal,20,11,7,65,36,71,0,110,0,2,0,0,0.0,0,77,0,429,0,0
162,2015-2016,Tottenham,19,13,6,69,35,70,0,143,0,3,0,0,0.0,0,53,0,361,0,0
163,2015-2016,Manchester City,19,9,10,71,41,66,0,172,0,4,0,0,0.0,0,62,0,401,0,0
164,2015-2016,Manchester Utd,19,9,10,49,35,66,0,153,0,4,0,0,0.0,0,62,0,465,0,0
165,2015-2016,Southampton,18,9,11,59,41,63,0,174,0,4,0,0,0.0,0,50,0,306,0,0
166,2015-2016,West Ham,16,14,8,65,51,62,0,179,0,10,0,0,0.0,0,54,0,406,0,0
167,2015-2016,Liverpool,16,12,10,63,50,60,0,199,0,2,0,0,0.0,0,67,0,410,0,0
168,2015-2016,Stoke City,14,9,15,41,55,51,0,210,0,5,0,0,0.0,0,63,0,409,0,0
169,2015-2016,Chelsea,12,14,12,59,53,50,0,144,0,3,0,0,0.0,0,67,0,473,0,0
170,2015-2016,Everton,11,14,13,59,55,47,0,150,0,3,0,0,0.0,0,61,0,419,0,0
171,2015-2016,Swansea City,12,11,15,42,52,47,0,130,0,1,0,0,0.0,0,64,0,431,0,0
172,2015-2016,Watford,12,9,17,40,50,45,0,165,0,3,0,0,0.0,0,63,0,417,0,0
173,2015-2016,West Brom,10,13,15,34,48,43,0,127,0,5,0,0,0.0,0,53,0,420,0,0
174,2015-2016,Crystal Palace,11,9,18,39,51,42,0,173,0,3,0,0,0.0,0,68,0,484,0,0
175,2015-2016,Bournemouth,11,9,18,45,67,42,0,135,0,5,0,0,0.0,0,60,0,392,0,0
176,2015-2016,Sunderland,9,12,17,48,62,39,0,250,0,5,0,0,0.0,0,72,0,451,0,0
